"id","name","position","team","posRank","avg","vorp","volr","price"
"14930","Hamilton, Davon","DT","JAC",36,7.39,-0.61,1.10666666666667,8.19
"13760","Whitehead, Jordan","S","NYJ",36,7.26333333333333,-1.15,0.571333333333333,9.1
"13303","Elliott, Jake","PK","PHI",36,3.44833333333333,-2.07966666666667,-1.06666666666667,10.92
"9577","Huber, Kevin","PN","FA",36,3.09,-1.62333333333333,-0.516666666666667,11.88
"13590","Mayfield, Baker","QB","LAR",37,12.6675,-7.5435,-1.89125,18.96
"9918","Sanders, Emmanuel","WR+TE","FA",37,9.53,1.284,3.66,12.4
"12447","Mostert, Raheem","RB","MIA",37,8.08166666666667,0.351666666666667,3.14,11.07
"13706","Baker, Jerome","LB","MIA",37,8.02333333333333,0,1.545,8.79
"13767","Maddox, Avonte","CB","PHI",37,7.78666666666667,-0.243333333333332,0.414166666666667,7.56
"12797","Ioannidis, Matt","DT","CAR",37,7.33833333333333,-0.661666666666667,1.055,8.14
"13717","Reid, Justin","S","KCC",37,7.225,-1.18833333333333,0.532999999999999,9.06
"11945","Santos, Cairo","PK","CHI",37,3.43166666666667,-2.09633333333333,-1.08333333333333,10.9
"13431","Sanchez, Rigoberto","PN","IND",37,3.0675,-1.64583333333333,-0.539166666666667,11.85
"13115","Trubisky, Mitchell","QB","PIT",38,12.24375,-7.96725,-2.315,18.53
"13671","Andrews, Mark","WR+TE","BAL",38,9.52666666666667,1.28066666666667,3.65666666666667,12.39
"13306","Walker, Anthony","LB","CLE",38,7.98166666666667,-0.041666666666667,1.50333333333333,8.74
"14080","Singletary, Devin","RB","BUF",38,7.852,0.122,2.91033333333333,10.84
"14902","Okudah, Jeff","CB","DET",38,7.77,-0.26,0.397499999999999,7.54
"14149","Gary, Rashan","DE","GBP",38,7.344,0.019000000000001,1.514,8.59
"12782","Onyemata, David","DT","NOS",38,7.21666666666667,-0.783333333333333,0.933333333333334,8.02
"14910","Jones, Brandon","S","MIA",38,7.215,-1.19833333333333,0.523,9.05
"15606","Johnson, Brian","PK","FA",38,3.37,-2.158,-1.145,10.84
"9310","Kern, Brett","PN","PHI",38,2.98666666666667,-1.72666666666667,-0.620000000000001,11.77
"12476","Heinicke, Taylor","QB","WAS",39,12.201,-8.01,-2.35775,18.49
"13633","Kirk, Christian","WR+TE","JAC",39,9.39166666666667,1.14566666666667,3.52166666666667,12.26
"13304","Brown, Jayon","LB","LVR",39,7.97166666666667,-0.0516666666666667,1.49333333333333,8.73
"15749","Pacheco, Isiah","RB","KCC",39,7.73,0,2.78833333333333,10.71
"13263","Awuzie, Chidobe","CB","CIN",39,7.72833333333333,-0.301666666666666,0.355833333333333,7.5
"12756","Ngakoue, Yannick","DE","IND",39,7.325,0,1.495,8.57
"15381","Grant, Richie","S","ATL",39,7.21,-1.20333333333333,0.518,9.05
"16137","Nichols, Rayshad","DT","BAL",39,7,-1,0.716666666666667,7.8
"13898","Joseph, Greg","PK","MIN",39,3.332,-2.196,-1.183,10.8
"12323","Pinion, Bradley","PN","ATL",39,2.75833333333333,-1.955,-0.848333333333334,11.55
"10273","Newton, Cam","QB","FA",40,11.58375,-8.62725,-2.975,17.87
"10729","Hilton, T.Y.","WR+TE","DAL",40,9.38166666666667,1.13566666666667,3.51166666666667,12.25
"11723","Van Noy, Kyle","LB","LAC",40,7.95,-0.0733333333333333,1.47166666666667,8.71
"11747","White, James","RB","FA",40,7.725,-0.00500000000000078,2.78333333333333,10.71
"14935","Dantzler, Cameron","CB","MIN",40,7.7025,-0.327499999999999,0.33,7.47
"13681","Chubb, Bradley","DE","MIA",40,7.31833333333333,-0.00666666666666593,1.48833333333333,8.56
"15001","Curl, Kamren","S","WAS",40,7.1675,-1.24583333333333,0.4755,9
"13748","Jones, Justin","DT","CHI",40,6.98,-1.02,0.696666666666666,7.78
"13051","Palardy, Michael","PN","NEP",40,2.604,-2.10933333333333,-1.00266666666667,11.39
"11640","Bridgewater, Teddy","QB","MIA",41,11.205,-9.006,-3.35375,17.49
"11674","Cooks, Brandin","WR+TE","HOU",41,9.32166666666667,1.07566666666667,3.45166666666667,12.19
"12701","Smith, Jaylon","LB","NYG",41,7.91666666666667,-0.106666666666666,1.43833333333333,8.68
"13850","Edwards, Gus","RB","BAL",41,7.698,-0.032,2.75633333333333,10.68
"15422","Wilson, Marco","CB","ARI",41,7.68666666666667,-0.343333333333332,0.314166666666667,7.46
"12691","Ogbah, Emmanuel","DE","MIA",41,7.24333333333333,-0.0816666666666661,1.41333333333333,8.49
"14908","McKinney, Xavier","S","NYG",41,7.1475,-1.26583333333333,0.455500000000001,8.98
"7911","Colquitt, Dustin","PN","FA",41,2.4475,-2.26583333333333,-1.15916666666667,11.23
"14057","Lock, Drew","QB","SEA",42,10.935,-9.276,-3.62375,17.22
"15789","Watson, Christian","WR+TE","GBP",42,9.15,0.904,3.28,12.02
"14322","Edwards, T.J.","LB","PHI",42,7.776,-0.247333333333333,1.29766666666667,8.54
"12630","Drake, Kenyan","RB","BAL",42,7.67333333333333,-0.0566666666666675,2.73166666666667,10.66
"13224","Lattimore, Marshon","CB","NOS",42,7.62666666666667,-0.403333333333332,0.254166666666666,7.4
"12278","Golden, Markus","DE","ARI",42,7.24,-0.0849999999999991,1.41,8.49
"9846","McCourty, Devin","S","NEP",42,7.09,-1.32333333333333,0.398,8.93
"9815","Suh, Ndamukong","DT","PHI",42,6.81166666666667,-1.18833333333333,0.528333333333333,7.61
"9686","Succop, Ryan","PK","TBB",42,2.97,-2.558,-1.545,10.44
