game_id,season,round,week,team_id,player_id,position,player_display_name,team,category,value,player_count,cat_sum,snaps,cat_result,cat_winner,franchise_score,snaps_sum,matchup_result,winner
2023-1-0012-0010,2023,1,3,0010,14630,PN,A.J. Cole,LVR,punt_yards,262,1,262,0,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,12225,DT,Leonard Williams,NYG,def_tackles,4,5,19,69,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,12225,DT,Leonard Williams,NYG,def_tackles_for_loss,0,5,5,69,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,12225,DT,Leonard Williams,NYG,def_sacks,0.5,5,4.5,69,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,12225,DT,Leonard Williams,NYG,def_qb_hits,2,5,7,69,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,12225,DT,Leonard Williams,NYG,def_turnover,0,5,3,69,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14149,DE,Rashan Gary,GB,def_tackles,3,5,19,23,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14149,DE,Rashan Gary,GB,def_tackles_for_loss,3,5,5,23,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14149,DE,Rashan Gary,GB,def_sacks,3,5,4.5,23,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14149,DE,Rashan Gary,GB,def_qb_hits,4,5,7,23,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,14149,DE,Rashan Gary,GB,def_turnover,0,5,3,23,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15914,LB,Malcolm Rodriguez,DET,def_tackles,0,5,19,40,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15914,LB,Malcolm Rodriguez,DET,def_tackles_for_loss,0,5,5,40,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15914,LB,Malcolm Rodriguez,DET,def_sacks,0,5,4.5,40,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15914,LB,Malcolm Rodriguez,DET,def_qb_hits,0,5,7,40,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15914,LB,Malcolm Rodriguez,DET,def_turnover,0,5,3,40,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15856,CB,Alontae Taylor,NO,def_tackles,5,5,19,83,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15856,CB,Alontae Taylor,NO,def_tackles_for_loss,2,5,5,83,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15856,CB,Alontae Taylor,NO,def_sacks,1,5,4.5,83,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15856,CB,Alontae Taylor,NO,def_qb_hits,1,5,7,83,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15856,CB,Alontae Taylor,NO,def_turnover,0,5,3,83,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15366,S,Jevon Holland,MIA,def_tackles,7,5,19,56,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15366,S,Jevon Holland,MIA,def_tackles_for_loss,0,5,5,56,0,0012,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15366,S,Jevon Holland,MIA,def_sacks,0,5,4.5,56,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15366,S,Jevon Holland,MIA,def_qb_hits,0,5,7,56,1,0010,4.5,2201,0,0012
2023-1-0012-0010,2023,1,3,0010,15366,S,Jevon Holland,MIA,def_turnover,3,5,3,56,1,0010,4.5,2201,0,0012
